OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
727,15000US230139711001,507,94,90,47.9,28472.0,0.1111111111111111,0.6431718052229489,0.6123348008629445,28472.0,0.31687242667953736,0.2485207095689927
728,15000US230139711002,601,85,138,52.2,47500.0,0.10465116279069768,0.5742725871756929,0.5007656960172041,47500.0,0.3489208620542415,0.07986688838624478
729,15000US230139709001,663,64,126,49.6,40735.0,0.16722408026755853,0.6385786795547425,0.6020304562415935,40735.0,0.39606741461778816,0.18853695295846615
730,15000US230139708001,623,157,166,41.1,43188.0,0.02654867256637168,0.32766990211730607,0.25242718385333207,43188.0,0.4332129948259459,0.1621187798360854
731,15000US230139705001,1497,310,207,48.6,77159.0,0.02146690518783542,0.1449067429771783,0.1449067429771783,77159.0,0.3406040262741543,0.09352037401902447
732,15000US230139702001,708,111,215,56.5,46739.0,0.12222222222222222,0.4281045744638814,0.35784313667019096,46739.0,0.48571428432653063,0.12288135575864215
733,15000US230139707004,264,0,198,75.2,23169.0,0.0,0.39999999880597015,0.14925373089775007,23169.0,0.8358208913640752,0.09848484811179982
734,15000US230139706004,812,259,80,27.7,39063.0,0.3076923076923077,0.17613636313597625,0.17613636313597625,39063.0,0.18275862005945304,0.04064039403862021
735,15000US230050019004,674,191,50,33.9,59688.0,0.0,0.17187499946289062,0.0,59688.0,0.19999999924528303,0.016320474753233716
736,15000US230050019003,1280,280,117,36.5,60089.0,0.028169014084507043,0.16095380005819107,0.0,60089.0,0.2664298396688635,0.06796874994689941
737,15000US230050020012,848,178,106,40.9,76364.0,0.0,0.0,0.0,76364.0,0.3407643301249544,0.0
738,15000US230050020011,2661,672,635,45.3,52174.0,0.03081232492997199,0.11902530448076352,0.0,52174.0,0.31808510604459034,0.17962142562238365
739,15000US230050020022,663,96,137,49.4,94028.0,0.02413793103448276,0.0,0.0,94028.0,0.3211920519165826,0.0
740,15000US230050021014,1761,275,244,41.4,70556.0,0.02952029520295203,0.03832752608788905,0.0,70556.0,0.2016908210124507,0.023282225994729
741,15000US230050021012,1446,332,182,45.9,59125.0,0.027124773960216998,0.05295950147514096,0.05295950147514096,59125.0,0.21381578912201352,0.0
742,15000US230050021013,1274,236,171,43.2,33651.0,0.0,0.0,0.0,33651.0,0.3025210078949227,0.2425431709242204
743,15000US230110110002,1315,283,169,37.4,55743.0,0.33620689655172414,0.11162790680367767,0.0,55743.0,0.2705061077303558,0.055513307942575425
744,15000US230110107002,816,177,158,48.3,68656.0,0.16487455197132617,0.17278617673264324,0.08207343394800554,68656.0,0.44125326255547453,0.10049019595528162
745,15000US230110107001,1067,163,177,41.2,61167.0,0.02857142857142857,0.16091953992161007,0.0,61167.0,0.24429223688517754,0.02617801044379266
746,15000US230110120001,881,142,146,47.5,63672.0,0.06845238095238096,0.42536115501547167,0.40449438137320326,63672.0,0.2821229042398802,0.06356413159640847
747,15000US230110120003,1649,448,130,35.6,65286.0,0.21689059500959693,0.14586466143479,0.039097744302108654,65286.0,0.20070422499876017,0.1450809463604726
748,15000US230110120002,1020,285,127,39.1,58108.0,0.16816816816816818,0.1289537709757816,0.1289537709757816,58108.0,0.33519552978995665,0.14069264054037592
749,15000US230110108011,1449,246,305,51.5,61389.0,0.1833616298811545,0.0414201182819229,0.0414201182819229,61389.0,0.35802469080551746,0.028373702402509547
750,15000US230110108024,1501,281,270,42.5,42321.0,0.27307692307692305,0.04211956516016364,0.032608695607868624,42321.0,0.3673758860037222,0.15271265897340075
751,15000US230110130001,1486,484,100,37.1,48125.0,0.2787286063569682,0.034026464964033144,0.0,48125.0,0.3483365942302611,0.04194857913264643
752,15000US230110130002,1136,287,103,41.1,70573.0,0.055232558139534885,0.46110325253026413,0.43422913658524875,70573.0,0.1994750650932413,0.02992957743844227
753,15000US230110130003,1448,325,119,40.7,39236.0,0.3299492385786802,0.06822262106243694,0.06822262106243694,39236.0,0.23506743692665233,0.10704419882110207
754,15000US230110155002,1365,223,277,48.8,57115.0,0.20530973451327433,0.4148727980285002,0.34246575308956384,57115.0,0.3745819391729399,0.08063300672145214
755,15000US230110230021,1245,277,273,41.2,52344.0,0.25133689839572193,0.13384321198117932,0.0,52344.0,0.3796909483892032,0.14457831313688488
756,15000US230110250002,1072,182,238,47.6,73083.0,0.2890995260663507,0.2454394689130357,0.15920397983548262,73083.0,0.4571428561381476,0.011320754706301174
757,15000US230110250001,1714,434,159,39.1,43460.0,0.4245810055865922,0.20318237429231042,0.20318237429231042,43460.0,0.3579109057482167,0.09283196234263691
758,15000US230110250004,1009,205,122,45.5,47457.0,0.16578947368421051,0.08278867084359767,0.0,47457.0,0.2660332535248616,0.0
759,15000US230110250003,1376,355,108,34.5,35208.0,0.30538922155688625,0.04248366006130121,0.04248366006130121,35208.0,0.16211604067898286,0.1882267440492538
760,15000US230110106005,1417,293,177,43.4,51111.0,0.4172794117647059,0.03679999994112,0.00959999998464,51111.0,0.34219269046147394,0.09456598440750459
761,15000US230110106006,1245,199,108,48.0,49803.0,0.2986425339366516,0.0958677684365822,0.05454545445529677,49803.0,0.334552101764987,0.037964458773857464
762,15000US230110106004,1290,309,294,42.9,38594.0,0.49333333333333335,0.08580858071648749,0.0,38594.0,0.35920577552489935,0.1713178293245598
